Quebra;Quebra2;C�digo;Descri��o;Quantidade;Faturamento;Pre�o m�dio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participa��o;Acumulado;Classifica��o;ICMS ST;Fecop ST
"";;00000000002440;CORANTE SOFT GEL FLEX LARANJA 60G FLEX FEST;4,000;27,96;6,99;21,48;0,00;0,00;6,48;23,18;30,17;0,00;0,50;;;
"";;00000000002477;SAIOTE PARA DOCE 07CM RENDA AZUL CLARO;4,000;3,92;0,98;2,80;0,00;0,00;1,12;28,57;40,00;0,00;0,50;;;
"";;00000000005550;CHICLETE UVA POOSH 200G;4,000;31,96;7,99;25,40;0,00;0,00;6,56;20,53;25,83;0,00;0,50;;;
"";;00000000002552;COOKIES AMORI CHOCOLATE COM GOTAS DE CHOCOLATE 40G RICHESTER;4,000;8,76;2,19;5,52;0,00;0,00;3,24;36,99;58,70;0,00;0,50;;;
"";;00000000002559;DESINFETANTE UAU ANTIBAC FLORES E FRESCOR 10% DE DESCONTO 1L;4,000;23,96;5,99;16,64;0,00;0,00;7,32;30,55;43,99;0,00;0,50;;;
"";;00000000005521;SABONETE LIQUIDO GRANADO BEBE REFIL TRADICIONAL 250ML;4,000;77,20;19,30;70,64;0,00;0,00;6,56;8,50;9,29;0,00;0,50;;;
"";;00000000005512;CREME DENTAL COLGATE CARVAO ATIVADO TOTAL 90G;4,000;37,96;9,49;31,32;0,00;0,00;6,64;17,49;21,20;0,00;0,50;;;
"";;00000000005508;ALGODAO EM DISCOS NATHY C/50;4,000;19,96;4,99;16,76;0,00;0,00;3,20;16,03;19,09;0,00;0,51;;;
"";;00000000005507;SOBONETE LIQUIDO MORANGO CORPO DOURADO 1L;4,000;51,60;12,90;42,12;0,00;0,00;9,48;18,37;22,51;0,00;0,51;;;
"";;00000000002815;CANETA COMPACTOR 0.7MM VERMELHA;4,000;3,88;0,97;2,64;0,00;0,00;1,24;31,96;46,97;0,00;0,51;;;
"";;00000000002820;MARCADOR PILOT ATOMICO PRETO 1100-P;4,000;17,16;4,29;13,20;0,00;0,00;3,96;23,08;30,00;0,00;0,51;;;
"";;00000000002830;BLOCO BINGO C/ 100 FOLHAS TAMOIO;4,000;13,96;3,49;10,40;0,00;0,00;3,56;25,50;34,23;0,00;0,51;;;
"";;00000000002843;POTE 750ML REDONDO TOTALPLAST TRANS;4,000;95,60;23,90;57,20;0,00;0,00;38,40;40,17;67,13;0,00;0,51;;;
"";;00000000005501;PADRE NOSSO MASSA C/ OVOS DONA BENTA 500G;4,000;25,96;6,49;20,52;0,00;0,00;5,44;20,96;26,51;0,00;0,51;;;
"";;00000000005487;PIRULITO MORANGO 700G CHERRY POP;4,000;59,96;14,99;47,56;0,00;0,00;12,40;20,68;26,07;0,00;0,51;;;
"";;00000000002935;PA�OQUITA SANTA HELENA EM ROLHA C/ 10 UND 150G;4,000;3,96;0,99;3,20;0,00;0,00;0,76;19,19;23,75;0,00;0,52;;;
"";;00000000005482;PIRULITO MARACUJA CHERRY POP 700G;4,000;59,96;14,99;47,56;0,00;0,00;12,40;20,68;26,07;0,00;0,52;;;
"";;00000000002974;ESSENCIA LARANJA 30ML ARCOLOR;4,000;13,56;3,39;8,56;0,00;0,00;5,00;36,87;58,41;0,00;0,52;;;
"";;00000000002996;FORMINHA VERDE ESCURO PLAC N6 C/ 100 UND;4,000;7,16;1,79;4,48;0,00;0,00;2,68;37,43;59,82;0,00;0,52;;;
"";;00000000005462;GAS PARA CHANTILLY DAYSBRASIL C/10;4,000;119,60;29,90;81,44;0,00;0,00;38,16;31,91;46,86;0,00;0,52;;;
"";;00000000005450;PO PARA DECORACAO OURO ANTIGO 3G FLEX FEST;4,000;35,60;8,90;21,60;0,00;0,00;14,00;39,33;64,81;0,00;0,52;;;
"";;00000000003116;POLPA DE UVA 500G PURA POLPA;4,000;31,16;7,79;24,00;0,00;0,00;7,16;22,98;29,83;0,00;0,52;;;
"";;00000000003143;CALCULADORA DOTAD DE BOLSO;4,000;27,60;6,90;21,80;0,00;0,00;5,80;21,01;26,61;0,00;0,52;;;
"";;00000000003228;FEIJAO DE CORDA KUME 1KG;4,000;20,29;5,07;15,52;0,00;0,00;4,77;23,51;30,73;0,00;0,53;;;
"";;00000000003230;DESINFETANTE MEU LAR LAVANDA 2L;4,000;21,56;5,39;18,00;0,00;0,00;3,56;16,51;19,78;0,00;0,53;;;
"";;00000000003255;BANDEJA LAMINADA 02;4,000;3,96;0,99;2,80;0,00;0,00;1,16;29,29;41,43;0,00;0,53;;;
"";;00000000003349;ROLINHO DE ACETATO 18X100 PORTO FORMAS;4,000;14,76;3,69;9,48;0,00;0,00;5,28;35,77;55,70;0,00;0,53;;;
"";;00000000003351;ROLINHO DE ACETATO 10X200 PORTO FORMAS;4,000;16,08;4,02;10,32;0,00;0,00;5,76;35,82;55,81;0,00;0,53;;;
"";;00000000005431;TEMPERO SAZON NA MEDIDA TOMATE 30G;4,000;15,96;3,99;12,72;0,00;0,00;3,24;20,30;25,47;0,00;0,53;;;
"";;00000000003531;MOLHO INGLES CEPERA 101L;4,000;27,96;6,99;21,76;0,00;0,00;6,20;22,17;28,49;0,00;0,53;;;
"";;00000000003533;SARDINHA C/ OLEO PESCADOR 125G;4,000;23,96;5,99;16,92;0,00;0,00;7,04;29,38;41,61;0,00;0,53;;;
"";;00000000003582;PO PARA DECORA�AO VERMELHO NEON 3G FLEX FEST;4,000;35,96;8,99;23,40;0,00;0,00;12,56;34,93;53,68;0,00;0,54;;;
"";;00000000003627;GLITTER HOLOGRAFICO VERMELHO FLEX FEST 5G;4,000;31,92;7,98;21,56;0,00;0,00;10,36;32,46;48,05;0,00;0,54;;;
"";;00000000005405;CORTADOR DE UNHA UNHEX MERHEJE C/1;4,000;53,96;13,49;41,56;0,00;0,00;12,40;22,98;29,84;0,00;0,54;;;
"";;00000000003779;PAPEL TOALHA SUIFT PAPER 2400 FOLHAS;4,000;95,60;23,90;72,00;0,00;0,00;23,60;24,69;32,78;0,00;0,54;;;
"";;00000000003817;MARSHMALLOWS ALVORADA FINI 80G;4,000;23,96;5,99;19,40;0,00;0,00;4,56;19,03;23,51;0,00;0,54;;;
"";;00000000003825;MACARRAO TAGLIATELLI PETYBON 500G;4,000;35,96;8,99;30,80;0,00;0,00;5,16;14,35;16,75;0,00;0,54;;;
"";;00000000003920;FORMINHA AMARELO N4 PLAC C/ 100 UND;4,000;9,96;2,49;7,48;0,00;0,00;2,48;24,90;33,16;0,00;0,54;;;
"";;00000000003936;AJI NO MOTO REAL�ADOR DE SABOR REFIL 100G;4,000;27,16;6,79;21,00;0,00;0,00;6,16;22,68;29,33;0,00;0,55;;;
"";;00000000003966;DESODORANTE MONANGE SPRAY SENSIVEL 72H 150ML;4,000;31,96;7,99;28,44;0,00;0,00;3,52;11,01;12,38;0,00;0,55;;;
"";;00000000004028;MINHOCAS FINI 35G;4,000;11,96;2,99;9,76;0,00;0,00;2,20;18,39;22,54;0,00;0,55;;;
"";;00000000004038;PRATO RASO 23CM ULTRA PS;4,000;17,56;4,39;13,28;0,00;0,00;4,28;24,37;32,23;0,00;0,55;;;
"";;00000000005353;TOMATE SECO 100G BOM PRINCIPIO;4,000;67,60;16,90;274,92;0,00;0,00;-207,32;-306,69;-75,41;0,00;0,55;;;
"";;00000000004113;SABONETE LIQUIDO BIOMATIKA BABY LAVANDA 220ML;4,000;51,96;12,99;41,89;0,00;0,00;10,07;19,38;24,04;0,00;0,55;;;
"";;00000000004182;SABAO AZUL MINUANO C/ 5 180G;4,000;47,60;11,90;39,60;0,00;0,00;8,00;16,81;20,20;0,00;0,55;;;
"";;00000000004209;A�UCAR MASCAVO UNIAO 1KG;4,000;71,60;17,90;54,00;0,00;0,00;17,60;24,58;32,59;0,00;0,55;;;
"";;00000000004265;VINAGRE DE MA�A 4 ESTA�OES 500ML VIDRO 42% DE ACIDEZ;4,000;107,60;26,90;84,00;0,00;0,00;23,60;21,93;28,10;0,00;0,56;;;
"";;00000000004305;NOTA PROMISSORIA TILIBRA COM 50 FOLHAS;4,000;7,96;1,99;5,40;0,00;0,00;2,56;32,16;47,41;0,00;0,56;;;
"";;00000000004322;BALAO LINHA TOP VERMELHO;4,000;21,96;5,49;14,20;0,00;0,00;7,76;35,34;54,65;0,00;0,56;;;
"";;00000000005328;GOTAS TOP PISTACHE HARALD 101KG;4,000;183,60;45,90;158,80;0,00;0,00;24,80;13,51;15,62;0,00;0,56;;;
"";;00000000004418;RAPADURA ENGENHO TIMBAUBA CAIXINHA 500G;4,000;39,96;9,99;32,00;0,00;0,00;7,96;19,92;24,88;0,00;0,56;;;
"";;00000000005311;LO��O HIDRATANTE FLOR DE BAUNILHA PAIX�O 200ML;4,000;33,80;8,45;29,35;0,00;0,00;4,45;13,17;15,16;0,00;0,56;;;
"";;00000000004454;TOUCA TNT DESCARTAVEL INOVEN C/100;4,000;33,56;8,39;26,00;0,00;0,00;7,56;22,53;29,08;0,00;0,56;;;
"";;00000000004488;ALHO AMASSADO SABOR REAL 200G;4,000;19,96;4,99;14,80;0,00;0,00;5,16;25,85;34,86;0,00;0,56;;;
"";;00000000004492;BARRA DE CHOCOLATE  TRADICIONAL 60% SPECIAL DARK CAFE HERSHEYS 85G;4,000;37,96;9,49;29,64;0,00;0,00;8,32;21,92;28,07;0,00;0,57;;;
"";;00000000004538;DESODORANTE REXONA COTTON DRY 150ML 72H SPRAY;4,000;55,60;13,90;47,84;0,00;0,00;7,76;13,96;16,22;0,00;0,57;;;
"";;00000000004556;PO P DECORACAO CRISTAL 3G FEST FLEX;4,000;35,60;8,90;27,64;0,00;0,00;7,96;22,36;28,80;0,00;0,57;;;
"";;00000000004643;LUVA DE VINIL TAM. G BOMPACK C/100 COM PO;4,000;71,60;17,90;60,80;0,00;0,00;10,80;15,08;17,76;0,00;0,57;;;
"";;00000000004686;LAVA ROUPA LIQUIDO UAU ACTIVE AZUL 3L;4,000;130,00;32,50;88,04;0,00;0,00;41,96;32,28;47,66;0,00;0,57;;;
"";;00000000004688;KETCHUP CURRY HEINZ 397G;4,000;59,60;14,90;45,36;0,00;0,00;14,24;23,89;31,39;0,00;0,57;;;
"";;00000000004716;DESODORANTE SUAVE FEMININO 48H 200ML LAVANDA E ERVA-DOCE;4,000;35,96;8,99;31,52;0,00;0,00;4,44;12,35;14,09;0,00;0,57;;;
"";;00000000004718;DESODORANTE ROLL-ON POWDER DRY REXONA 30M;4,000;23,96;5,99;18,12;0,00;0,00;5,84;24,37;32,23;0,00;0,57;;;
"";;00000000004804;FITILHO BRANCO 5X50 FIDEPLA;4,000;9,96;2,49;7,44;0,00;0,00;2,52;25,30;33,87;0,00;0,58;;;
"";;00000000004866;FORMA EMPADA MELLO GRANDE 100ML C/ 100 UND;4,000;107,60;26,90;90,00;0,00;0,00;17,60;16,36;19,56;0,00;0,58;;;
"";;00000000005206;TOALHA UMEDECIDA PIQUITUCHO C/120;4,000;59,96;14,99;51,40;0,00;0,00;8,56;14,28;16,65;0,00;0,58;;;
"";;00000000005203;MARGARINA QUALY ZERO LACTOSE LIGHT C/SAL 250G;4,000;19,96;4,99;16,08;0,00;0,00;3,88;19,44;24,13;0,00;0,58;;;
"";;00000000004921;SABONETE LAVANDA E OLEOS NIVEA 85G;4,000;13,00;3,25;8,68;0,00;0,00;4,32;33,23;49,77;0,00;0,58;;;
"";;00000000004939;SHAMPOO SEDA ANTICASPA HIDRATA�AO DIARIA 325ML;4,000;47,96;11,99;37,76;0,00;0,00;10,20;21,27;27,01;0,00;0,58;;;
"";;00000000004967;KIT MAXTON TINTURA LOURO PLATINA CINZA 12.11 50G;4,000;32,48;8,12;32,00;0,00;0,00;0,48;1,48;1,50;0,00;0,58;;;
"";;00000000005012;TUBES TWISTER 80G;4,000;23,96;5,99;19,44;0,00;0,00;4,52;18,86;23,25;0,00;0,59;;;
"";;00000000005067;POTE 1000ML RETANGULAR TOTALPLAST TRANSPARENTE C/24;4,000;107,60;26,90;88,00;0,00;0,00;19,60;18,22;22,27;0,00;0,59;;;
"";;00000000005073;VELAS 7 DIAS PLUS VIWACE;4,000;31,96;7,99;24,88;0,00;0,00;7,08;22,15;28,46;0,00;0,59;;;
"";;00000000005123;TAMPA PARA POTE TR-200/250/400/500ML CRISTALCOPO C/50;4,000;19,96;4,99;15,40;0,00;0,00;4,56;22,85;29,61;0,00;0,59;;;
"";;00000000000035;QUEIJO MUSSARELA SERTAO MILK PE�A KG;4,350;164,16;37,74;108,75;0,00;0,00;55,41;33,75;50,95;0,00;0,59;;;
"";;00000000006050;MELADO DE CANA BREJEIRA 500G;5,000;69,50;13,90;0,00;0,00;0,00;69,50;100,00;0,00;0,00;0,59;;;
"";;00000000004883;MINI COPO DOCE 25ML STRAWPLAST PRETO  C/10;5,000;7,95;1,59;6,00;0,00;0,00;1,95;24,53;32,50;0,00;0,59;;;
"";;00000000004066;GRAO DE BICO YOKI 400G;5,000;69,95;13,99;62,40;0,00;0,00;7,55;10,79;12,10;0,00;0,60;;;
"";;00000000002144;SABONETE LIQUIDO ERVA DOCE 1L ALYNE;5,000;64,50;12,90;50,50;0,00;0,00;14,00;21,71;27,72;0,00;0,60;;;
"";;00000000006241;AZEITONA S/ CAROCO MARIZA 150G;5,000;44,50;8,90;32,85;0,00;0,00;11,65;26,18;35,46;0,00;0,60;;;
"";;00000000001150;GERGELIM C/ CASCA 100G PIONEIRO;5,000;18,45;3,69;14,00;0,00;0,00;4,45;24,12;31,79;0,00;0,60;;;
"";;00000000003863;FOSFOROS PARANA MADEIRA P10;5,000;21,95;4,39;16,40;0,00;0,00;5,55;25,28;33,84;0,00;0,60;;;
"";;00000000002979;ACUCAR IMPALPAVEL ARCOLOR 1KG EXTRA FINO;5,000;74,50;14,90;49,90;0,00;0,00;24,60;33,02;49,30;0,00;0,60;;;
"";;00000000005606;SABONETE GIBY BAUNILHA GIOVANNA BABY 90G;5,000;22,50;4,50;17,05;0,00;0,00;5,45;24,22;31,96;0,00;0,60;;;
"";;00000000004008;DESODORANTE NIVEA SPRAY PEARL BEAUTY 150ML;5,000;64,50;12,90;51,05;0,00;0,00;13,45;20,85;26,35;0,00;0,61;;;
"";;00000000001281;LIMPADOR PERFUMADO UAU BRISA E FRESCOR 1L PROMOCIONAL;5,000;47,45;9,49;36,35;0,00;0,00;11,10;23,39;30,54;0,00;0,61;;;
"";;00000000005605;LAVANDA FLORA NENEN 200ML;5,000;74,85;14,97;59,64;0,00;0,00;15,21;20,32;25,50;0,00;0,61;;;
"";;00000000005604;LAVANDA FLORA NENEN 100ML;5,000;54,95;10,99;42,77;0,00;0,00;12,18;22,17;28,48;0,00;0,61;;;
"";;00000000004005;DESODORANTE NIVEA SPRAY BLACK AND WHITE FEM 150ML;5,000;65,34;13,07;51,05;0,00;0,00;14,29;21,87;27,99;0,00;0,61;;;
"";;00000000003059;SACO PARA TALHER KRAFT BRANCO LISO C/100;5,000;42,45;8,49;32,30;0,00;0,00;10,15;23,91;31,42;0,00;0,61;;;
"";;00000000005598;SABONETE GIBY GIOVANNA BABY 90G;5,000;22,79;4,56;17,05;0,00;0,00;5,74;25,19;33,67;0,00;0,62;;;
"";;00000000005927;PO PARA DECORACAO NACARADO OURO FLEX FEST 3G;5,000;44,50;8,90;34,55;0,00;0,00;9,95;22,36;28,80;0,00;0,62;;;
"";;00000000003981;ABSORVENTE SEM ABAS C/ 8 UNID MODESS;5,000;14,95;2,99;12,45;0,00;0,00;2,50;16,72;20,08;0,00;0,62;;;
"";;00000000005928;GLITTER CHAMPAGNE ROSE FLEX FEST5G;5,000;44,50;8,90;34,55;0,00;0,00;9,95;22,36;28,80;0,00;0,62;;;
"";;00000000003979;OLEO CORPORAL 24H AMEIXA RUBI TENTADORA PAIXAO 200ML;5,000;59,50;11,90;45,68;0,00;0,00;13,82;23,23;30,25;0,00;0,62;;;
"";;00000000002243;BASE P/ DOCE GLOSS PRATA EMPORIO BOX 35MM;5,000;15,95;3,19;12,00;0,00;0,00;3,95;24,76;32,92;0,00;0,62;;;
"";;00000000001082;TEMPERO SAZON CALDO PARA FRUTOS DO MAR 101KG;5,000;124,50;24,90;93,20;0,00;0,00;31,30;25,14;33,58;0,00;0,63;;;
"";;00000000004859;TEMPERO SAZON NA MEDIDA CHEIRO VERDE 30G;5,000;19,95;3,99;15,85;0,00;0,00;4,10;20,55;25,87;0,00;0,63;;;
"";;00000000002711;MEXEDOR PARA CAFE ULTRATALHER 500 UND;5,000;34,95;6,99;25,00;0,00;0,00;9,95;28,47;39,80;0,00;0,63;;;
"";;00000000005372;SEMENTE DE ABOBORA 100G PIONEIRO;5,000;48,75;9,75;39,00;0,00;0,00;9,75;20,00;25,00;0,00;0,63;;;
"";;00000000004844;CORANTE LIQUID GEL 30G AZUL ROYAL ARCOLOR;5,000;24,95;4,99;15,80;0,00;0,00;9,15;36,67;57,91;0,00;0,63;;;
"";;00000000000225;PRATO LAMINADO N� 07;5,000;9,95;1,99;7,37;0,00;0,00;2,58;25,93;35,01;0,00;0,63;;;
"";;00000000003774;GARFO REFEI�AO TRANSPARENTE STRAWPLAST C/50;5,000;15,45;3,09;11,25;0,00;0,00;4,20;27,18;37,33;0,00;0,64;;;
"";;00000000003115;POLPA DE SIRIGUELA 500G PURA POLPA;5,000;32,45;6,49;25,00;0,00;0,00;7,45;22,96;29,80;0,00;0,64;;;
"";;00000000002678;CREME DE PENTAR CORPO DOURADO CAPRICHOSA BABOSA 1KG;5,000;49,90;9,98;41,45;0,00;0,00;8,45;16,93;20,39;0,00;0,64;;;
"";;00000000005522;ESCOVA DE DENTES KESS VIAGEM C/1;5,000;13,45;2,69;10,15;0,00;0,00;3,30;24,54;32,51;0,00;0,64;;;
"";;00000000002657;GOIABADA CASCAO VAL 400G;5,000;25,70;5,14;19,80;0,00;0,00;5,90;22,96;29,80;0,00;0,64;;;
"";;00000000003155;AGUA S/ GAS INDAIA 330 ML;5,000;9,95;1,99;7,10;0,00;0,00;2,85;28,64;40,14;0,00;0,64;;;
"";;00000000005486;PIRULITO BLACK 700G CHERRY POP;5,000;74,95;14,99;59,45;0,00;0,00;15,50;20,68;26,07;0,00;0,65;;;
"";;00000000001398;BASE P/ DOCE LARANJA EMPORIO BOX 35MM;5,000;9,95;1,99;6,25;0,00;0,00;3,70;37,19;59,20;0,00;0,65;;;
"";;00000000000259;PO PARA DECORACAO ROSA FLEX FEST 3G;5,000;42,45;8,49;34,55;0,00;0,00;7,90;18,61;22,87;0,00;0,65;;;
"";;00000000001012;MOLHO DE PIMENTA KENKO SALSA DE AJI 150ML;5,000;18,95;3,79;15,00;0,00;0,00;3,95;20,84;26,33;0,00;0,65;;;
"";;00000000002894;SABONETE LIQUIDO ORQUIDEA 1L ALYNE;5,000;64,50;12,90;55,35;0,00;0,00;9,15;14,19;16,53;0,00;0,65;;;
"";;00000000004769;MOLHO SHOYU MARIZA 500ML;5,000;34,95;6,99;23,50;0,00;0,00;11,45;32,76;48,72;0,00;0,65;;;
"";;00000000002782;CREME CORPO DOURADO ME CACHEIA MUITO 1KG;5,000;49,95;9,99;41,45;0,00;0,00;8,50;17,02;20,51;0,00;0,65;;;
"";;00000000000270;PO PARA DECORACAO DOURADO FLEX FEST 20G;5,000;119,50;23,90;100,20;0,00;0,00;19,30;16,15;19,26;0,00;0,66;;;
"";;00000000004760;FARINHA DE ROSCA MARIZA 400G;5,000;22,45;4,49;18,35;0,00;0,00;4,10;18,26;22,34;0,00;0,66;;;
"";;00000000001387;FORMINHA LILAS N6 PLAC C/ 100 UND;5,000;8,95;1,79;5,70;0,00;0,00;3,25;36,31;57,02;0,00;0,66;;;
"";;00000000004759;FARINHA PARA EMPANAR PANKO MARIZA 250G;5,000;39,95;7,99;31,17;0,00;0,00;8,78;21,98;28,17;0,00;0,66;;;
"";;00000000005226;SABONETE BOTANICALS FLOR DE VERBENA 85G;5,000;12,43;2,49;9,80;0,00;0,00;2,63;21,16;26,84;0,00;0,66;;;
"";;00000000005663;SABONETE LIQUIDO ASEPTOL ANTISEPTICO 90ML;5,000;34,95;6,99;28,90;0,00;0,00;6,05;17,31;20,93;0,00;0,66;;;
"";;00000000003233;MOLHO DE TOMATE AZEITONA HEINZ  300G SACHE;5,000;26,45;5,29;20,10;0,00;0,00;6,35;24,01;31,59;0,00;0,67;;;
"";;00000000005655;GELEIA DE GOIABA MARIZA 270G;5,000;59,50;11,90;45,20;0,00;0,00;14,30;24,03;31,64;0,00;0,67;;;
"";;00000000002882;ASSADEIRA OVAL BOREDA 7000ML;5,000;37,50;7,50;23,35;0,00;0,00;14,15;37,73;60,60;0,00;0,67;;;
"";;00000000000993;MOLHO QUERO MANJERICAO 300G SACHE;5,000;13,45;2,69;10,00;0,00;0,00;3,45;25,65;34,50;0,00;0,67;;;
"";;00000000004722;TALCO PERFUMADO LEITE DE ROSAS BARLA FRASCO 140G;5,000;39,95;7,99;33,70;0,00;0,00;6,25;15,64;18,55;0,00;0,67;;;
"";;00000000001840;BARRA DE CHOCOLATE AERADO 60% SPECIAL DARK HERSHEYS 85G;5,000;42,45;8,49;37,10;0,00;0,00;5,35;12,60;14,42;0,00;0,67;;;
"";;00000000004720;DESODORANTE ROLL-ON BAMBOO & ALOE VERA REXONA 30ML;5,000;29,95;5,99;22,65;0,00;0,00;7,30;24,37;32,23;0,00;0,68;;;
"";;00000000005442;PINCEL N 10 CONDOR ESCOLAR 474-10;5,000;12,45;2,49;10,30;0,00;0,00;2,15;17,27;20,87;0,00;0,68;;;
"";;00000000001099;SABOR AMIL S/ PIMENTA 300G;5,000;23,45;4,69;19,27;0,00;0,00;4,18;17,83;21,69;0,00;0,68;;;
"";;00000000006254;VELA  ESPIRALPRATEADA SILVER FE4ST C/4 UND;5,000;40,02;8,00;18,40;0,00;0,00;21,62;54,02;117,50;0,00;0,68;;;
"";;00000000002558;DESINFETANTE UAU ANTIBAC FLORES E FRUTAS VERMELHAS 10% DE DESCONTO 1L;5,000;29,95;5,99;19,70;0,00;0,00;10,25;34,22;52,03;0,00;0,68;;;
"";;00000000003329;RAPADURA COM COCO ENGENHO BARI 380G;5,000;20,95;4,19;16,40;0,00;0,00;4,55;21,72;27,74;0,00;0,68;;;
"";;00000000000980;EXTRATO DE TOMATE QUERO 300G SACHE;5,000;19,95;3,99;18,20;0,00;0,00;1,75;8,77;9,62;0,00;0,69;;;
"";;00000000005785;AZEITONAS VERDES FATIADAS RAINHA 18KG;5,000;314,50;62,90;277,25;0,00;0,00;37,25;11,84;13,44;0,00;0,69;;;
"";;00000000005245;SABONETE LUX BOTANICALS LAVANDA 85G;5,000;12,61;2,52;9,80;0,00;0,00;2,81;22,28;28,67;0,00;0,69;;;
"";;00000000005268;GARRAFA DE MEL PURO 1L VIDRO;5,000;112,50;22,50;90,00;0,00;0,00;22,50;20,00;25,00;0,00;0,69;;;
"";;00000000005299;MACARRAO TALHARIM N.2 DONA BENTA 500G;5,000;49,95;9,99;39,95;0,00;0,00;10,00;20,02;25,03;0,00;0,69;;;
"";;00000000000424;MARSHMALLOWS FINI TOR�AO AZUL 200G RECHEADO;5,000;44,95;8,99;37,90;0,00;0,00;7,05;15,68;18,60;0,00;0,69;;;
"";;00000000002535;CORANTE SOFT GEL FLEX ROSA BEBE 25G FLEX FEST;5,000;21,73;4,35;16,55;0,00;0,00;5,18;23,84;31,30;0,00;0,70;;;
"";;00000000001647;SACO DE PIPOCA N 2;5,000;17,45;3,49;13,50;0,00;0,00;3,95;22,64;29,26;0,00;0,70;;;
"";;00000000004530;DESODORANTE SUAVE INVISIVEL  200ML  SPRAY;5,000;44,95;8,99;38,60;0,00;0,00;6,35;14,13;16,45;0,00;0,70;;;
"";;00000000001581;REQUEIJAO JANGADA CREAM LIGHT 200G;5,000;24,95;4,99;20,65;0,00;0,00;4,30;17,23;20,82;0,00;0,70;;;
"";;00000000005901;BARRA DE CHOCOLATE CARAMELO SALGADO 47% SPECIAL DARK HERSHEYS  80G;5,000;42,45;8,49;31,50;0,00;0,00;10,95;25,80;34,76;0,00;0,70;;;
"";;00000000003353;ROLINHO DE ACETATO 10X400 PORTO FORMAS;5,000;32,45;6,49;19,95;0,00;0,00;12,50;38,52;62,66;0,00;0,70;;;
"";;00000000005640;PURE DE BATATAS MARIZA 180G;5,000;39,95;7,99;35,80;0,00;0,00;4,15;10,39;11,59;0,00;0,70;;;
"";;00000000004929;ABSORVENTE NOITE E DIA SUAVE SEMPRE LIVRE C/ABAS C/8;5,000;39,50;7,90;32,00;0,00;0,00;7,50;18,99;23,44;0,00;0,71;;;
"";;00000000005436;MA�ARICO HUTZ;5,000;249,50;49,90;119,50;0,00;0,00;130,00;52,10;108,79;0,00;0,71;;;
"";;00000000000491;GELEIA DE PIMENTA 2KG  HOMEMADE;5,000;349,50;69,90;307,95;0,00;0,00;41,55;11,89;13,49;0,00;0,71;;;
"";;00000000002467;SAIOTE PARA DOCE 07CM RENDA VERDE CLARO;5,000;4,90;0,98;3,50;0,00;0,00;1,40;28,57;40,00;0,00;0,71;;;
"";;00000000005041;QUENTINHA ALUMINIO B09 BOREDA C/100;5,000;239,50;47,90;225,00;0,00;0,00;14,50;6,05;6,44;0,00;0,71;;;
"";;00000000005327;BARRA DE CHOCOLATE  MEIO AMARGO MELKEN 1010KG;5,000;359,50;71,90;263,75;0,00;0,00;95,75;26,63;36,30;0,00;0,71;;;
"";;00000000001698;CANUDO PAPEL VERMELHO METALICO C/ 12 UND;5,000;12,45;2,49;10,35;0,00;0,00;2,10;16,87;20,29;0,00;0,72;;;
"";;00000000002965;SABONETE ALBANY ANTIBAC HOMEM 85G;5,000;10,95;2,19;6,45;0,00;0,00;4,50;41,10;69,77;0,00;0,72;;;
"";;00000000005631;CORANTE GEMA MARIZA 100G;5,000;25,28;5,06;19,35;0,00;0,00;5,93;23,46;30,65;0,00;0,72;;;
"";;00000000001203;MIX DE PIMENTA 38G PIONEIRO;5,000;29,45;5,89;23,50;0,00;0,00;5,95;20,20;25,32;0,00;0,72;;;
"";;00000000001615;POTE 250ML RETANGULAR RIOPLASTIC;5,000;49,95;9,99;40,00;0,00;0,00;9,95;19,92;24,88;0,00;0,72;;;
"";;00000000004366;PAPEL ALUMINIO MELLO 30X100;5,000;199,50;39,90;173,35;0,00;0,00;26,15;13,11;15,09;0,00;0,72;;;
"";;00000000004334;BALAO CANDY LILAS;5,000;64,50;12,90;41,75;0,00;0,00;22,75;35,27;54,49;0,00;0,73;;;
"";;00000000000888;SHAMPOO SEDA LISO PERF 325ML;5,000;59,95;11,99;47,20;0,00;0,00;12,75;21,27;27,01;0,00;0,73;;;
"";;00000000005346;CAIXA PARA TRANSPORTE 100 DOCES 37X37X45 KRAFT DESMONTADO;5,000;34,50;6,90;25,20;0,00;0,00;9,30;26,96;36,90;0,00;0,73;;;
"";;00000000002437;CORANTE SOFT GEL FLEX AMARELO 60G FLEX FEST;5,000;34,95;6,99;26,85;0,00;0,00;8,10;23,18;30,17;0,00;0,73;;;
"";;00000000005127;BALAO LISO RED. 07 AZUL PIC PIC 50 UN;5,000;49,50;9,90;30,85;0,00;0,00;18,65;37,68;60,45;0,00;0,73;;;
"";;00000000005800;SABONETE LIQUIDO MONANGE FRUTAS VERMELHAS 240ML;5,000;47,17;9,43;35,31;0,00;0,00;11,86;25,14;33,59;0,00;0,73;;;
"";;00000000000575;AMACIANTE DE ROUPAS UAU CARINHO E CONFORTO 500ML;5,000;54,50;10,90;41,25;0,00;0,00;13,25;24,31;32,12;0,00;0,74;;;
"";;00000000005126;BALAO LISO RED. 07 BRANCO PIC PIC 50 UN;5,000;49,50;9,90;30,85;0,00;0,00;18,65;37,68;60,45;0,00;0,74;;;
