Quebra;Quebra2;C�digo;Descri��o;Quantidade;Faturamento;Pre�o m�dio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participa��o;Acumulado;Classifica��o;ICMS ST;Fecop ST
"";;00000000005190;LANCA CONFETE DIA DE ESTRELA MAKE+ UN;1,000;11,98;11,98;10,49;0,00;0,00;1,49;12,44;14,20;0,00;0,08;;;
"";;00000000002164;MOLHO ERVAS FINAS KENKO PARA SALADA 240G;1,000;7,99;7,99;6,54;0,00;0,00;1,45;18,15;22,17;0,00;0,08;;;
"";;00000000004392;TUBES MORANGO FINI 35G;1,000;2,99;2,99;2,20;0,00;0,00;0,79;26,42;35,91;0,00;0,08;;;
"";;00000000004387;SAZON LIMAO 60G C/12 SACHE;1,000;4,49;4,49;3,78;0,00;0,00;0,71;15,81;18,78;0,00;0,08;;;
"";;00000000005330;WAFER MAIS POPCORN HERSHEYS 102G;1,000;6,90;6,90;5,34;0,00;0,00;1,56;22,61;29,21;0,00;0,08;;;
"";;00000000000001;QUEIJO MUSSARELA SABOR DO SERRADO PECA KG;1,000;34,90;34,90;31,00;0,00;0,00;3,90;11,17;12,58;0,00;0,08;;;
"";;00000000002175;ETIQUETA 60X40MM;1,000;17,89;17,89;15,25;0,00;0,00;2,64;14,76;17,31;0,00;0,08;;;
"";;00000000004365;PAPEL ALUMINIO MELLO 30X75;1,000;3,49;3,49;3,00;0,00;0,00;0,49;14,04;16,33;0,00;0,08;;;
"";;00000000006271;VELA TUBO PRATEADO  SILVER FEST C/4 UND;1,000;8,90;8,90;7,00;0,00;0,00;1,90;21,35;27,14;0,00;0,08;;;
"";;00000000004358;CERA DEPIL MAIS MEL 300G;1,000;9,90;9,90;8,58;0,00;0,00;1,32;13,33;15,38;0,00;0,08;;;
"";;00000000004353;MANTEIGA DA TERRA CHRISTUS 1L;1,000;15,90;15,90;20,00;0,00;0,00;-4,10;-25,79;-20,50;0,00;0,08;;;
"";;00000000005603;SOLU�AO BUCAL LISTERINE HORTELA COOL MINT REFRESCANCIA INTENSA S/ALCOOL 250ML;1,000;14,99;14,99;12,08;0,00;0,00;2,91;19,41;24,09;0,00;0,09;;;
"";;00000000004337;BALAO CANDY AMARELO;1,000;12,90;12,90;8,35;0,00;0,00;4,55;35,27;54,49;0,00;0,09;;;
"";;00000000004329;BALAO LINHA REDONDOS VERDE;1,000;9,90;9,90;6,17;0,00;0,00;3,73;37,68;60,45;0,00;0,09;;;
"";;00000000002182;FITA ADESIVA 100M 2215;1,000;7,99;7,99;5,90;0,00;0,00;2,09;26,16;35,42;0,00;0,09;;;
"";;00000000005602;COLONIA EKOPURE MARINE SPLASH200ML;1,000;14,97;14,97;12,38;0,00;0,00;2,59;17,30;20,92;0,00;0,09;;;
"";;00000000005595;BOLINHO ANA MARIA PAO DE MEL 42G;1,000;1,99;1,99;1,50;0,00;0,00;0,49;24,62;32,67;0,00;0,09;;;
"";;00000000005592;MISTURA PARA BOLO AIPIM DONA BENTA 450G;1,000;6,99;6,99;5,48;0,00;0,00;1,51;21,60;27,55;0,00;0,09;;;
"";;00000000006128;MACARRAO PADRE NOSSO SEMOLA DONA BENTA 500G;1,000;5,99;5,99;4,73;0,00;0,00;1,26;21,04;26,64;0,00;0,09;;;
"";;00000000005758;SHAMPOO BARUEL SONO TRANQUILO BABY 210ML;1,000;10,90;10,90;7,91;0,00;0,00;2,99;27,43;37,80;0,00;0,09;;;
"";;00000000004303;LAPISEIRA BRW 07MM;1,000;2,29;2,29;1,75;0,00;0,00;0,54;23,58;30,86;0,00;0,09;;;
"";;00000000004292;COBERTURA FRACIONADA DE CHOCOLATE AO LEITE DOCEIRO HAENSSGEN 1005KG;1,000;19,99;19,99;17,57;0,00;0,00;2,42;12,11;13,77;0,00;0,09;;;
"";;00000000001680;KIT LASANHA DE ALUMINIO G;1,000;15,99;15,99;10,00;0,00;0,00;5,99;37,46;59,90;0,00;0,09;;;
"";;00000000005168;GAS PARA CHANTILLY FLAVORS C/10;1,000;39,90;39,90;32,46;0,00;0,00;7,44;18,65;22,92;0,00;0,09;;;
"";;00000000005579;CREME DE RICOTA GALBANI 200G;1,000;10,90;10,90;8,50;0,00;0,00;2,40;22,02;28,24;0,00;0,09;;;
"";;00000000005858;FEIJAO CORDA GOSTOZZO 1KG;1,000;5,59;5,59;4,82;0,00;0,00;0,77;13,77;15,98;0,00;0,09;;;
"";;00000000004243;BARRA DE CHOCOLATE COBERTURA MEIO AMARGO GAROTO 1KG;1,000;69,90;69,90;62,17;0,00;0,00;7,73;11,06;12,43;0,00;0,09;;;
"";;00000000004240;CAIXA PARA 12 CUPCAKES TAMPA + BER�O;1,000;9,18;9,18;7,23;0,00;0,00;1,95;21,24;26,97;0,00;0,09;;;
"";;00000000002273;GLITTER AZUL MARINHO FLEX FEST 5G;1,000;8,90;8,90;6,91;0,00;0,00;1,99;22,36;28,80;0,00;0,09;;;
"";;00000000004236;CAIXA PARA TRANSPORTE 50 DOCES 37X185X45;1,000;3,99;3,99;3,06;0,00;0,00;0,93;23,31;30,39;0,00;0,09;;;
"";;00000000006123;CREME DENTAL KIDS TRA LA LA  BUBBLE GUM 50G;1,000;6,99;6,99;5,01;0,00;0,00;1,98;28,33;39,52;0,00;0,09;;;
"";;00000000006122;CREME DENTAL KIDS TRA LA LA MORANGO 50G;1,000;6,99;6,99;5,01;0,00;0,00;1,98;28,33;39,52;0,00;0,09;;;
"";;00000000004232;BASE P/ DOCE ROSE GOLD EMPORIO BOX 35MM;1,000;2,99;2,99;2,10;0,00;0,00;0,89;29,77;42,38;0,00;0,09;;;
"";;00000000005669;VODKA SKYY 980ML;1,000;39,90;39,90;32,77;0,00;0,00;7,13;17,87;21,76;0,00;0,09;;;
"";;00000000004988;REPARADOR DE PONTAS QUERATINA FATTORE 30ML;1,000;7,90;7,90;6,07;0,00;0,00;1,83;23,16;30,15;0,00;0,09;;;
"";;00000000005732;TOSTINES BISCOITO GRANULADO 1KG;1,000;43,90;43,90;39,54;0,00;0,00;4,36;9,93;11,03;0,00;0,09;;;
"";;00000000005170;TINTA COR E TON MARROM ACOBREADO 5.74 50G;1,000;7,99;7,99;10,29;0,00;0,00;-2,30;-28,79;-22,35;0,00;0,09;;;
